Charging Station ID,Location,Date,Total Sessions,Average Session Duration (mins),Peak Usage Time,Peak Usage Count,Revenue Generated ($),Energy Consumed (kWh),Average Charging Speed (kW),Average Session Cost ($),Payment Method,User Satisfaction Rating (out of 10),Charging Mode,Distance Traveled (km),Age Range,Gender,Vehicle Type,Charging Frequency (times per week),Favorite Charging Time,Favorite Charging Location,Compliance Status,Compliance Details,Regulatory Authority,Compliance Score (%),Compliance Challenges
CS001,Connaught Place,45383,35,45,Evening,10,300,800,22.8,8.57,Credit Card,8,Fast,35,18-24,Male,Electric Car,5,Afternoon,Shopping Mall,Compliant,All safety measures followed,EV Charging Board,95,None
CS002,South Extension,45384,40,50,Morning,12,350,900,23.3,8.75,Debit Card,7,Normal,40,25-35,Female,Electric Car,4,Morning,Office,Non-compliant,No proper signage,EV Charging Authority,80,Limited space for signage
CS003,Cyber Hub,45385,45,55,Afternoon,15,400,950,21.1,8.88,Mobile Wallet,9,Fast,50,35-45,Male,Electric Car,6,Evening,Home,Compliant,Regular inspections,EV Charging Board,92,None
CS004,Indira Gandhi Airport,45386,50,60,Evening,18,450,1000,20,9,Debit Card,8,Normal,45,18-24,Female,Electric Bike,3,Morning,Park,Compliant,Safety protocols followed,EV Charging Authority,88,Limited staff for monitoring
CS005,DLF Cyber City,45387,55,50,Morning,20,500,1050,19.2,9.09,Credit Card,7,Fast,60,25-35,Male,Electric Car,5,Afternoon,Shopping Mall,Non-compliant,No emergency contact,EV Charging Board,82,Limited space for signs
CS006,India Gate,45388,60,45,Evening,22,550,1100,23.7,9.23,Mobile Wallet,9,Normal,55,35-45,Female,Electric Car,6,Evening,Home,Compliant,Regular audits conducted,EV Charging Authority,90,None
CS007,Saket,45389,65,55,Afternoon,25,600,1150,21.5,9.38,Debit Card,8,Fast,70,45-55,Male,Electric Car,7,Morning,Office,Compliant,Safety regulations met,EV Charging Board,85,Limited monitoring
CS008,Dwarka,45390,70,60,Morning,28,650,1200,22.1,9.5,Credit Card,7,Normal,65,18-24,Female,Electric Car,5,Evening,Tourist Spot,Non-compliant,No regular inspections,EV Charging Authority,80,Limited staff for checks
CS009,Nehru Place,45391,75,50,Evening,30,700,1250,18.8,9.63,Mobile Wallet,9,Fast,80,25-35,Male,Electric Car,6,Afternoon,Work,Compliant,Safety protocols in place,EV Charging Board,88,None
CS010,Janakpuri,45392,80,45,Morning,32,750,1300,20.6,9.75,Debit Card,8,Normal,75,35-45,Female,Electric Car,7,Evening,Shopping Mall,Non-compliant,No proper lighting,EV Charging Authority,82,Limited resources for upgrades
